NR band;Alias;Mode;DeltaF;Step;F dl_low (MHz);F dl_high (MHz);N dl low;N dl high;F ul_low (MHz);F ul_high (MHz);N ul low;N ul high;Arfcn range;Bandwidth (MHz);Duplex spacing (MHz);3GPP Release
n48;TD 3600;TDD;15;1;3550;3700;636667;646666;3550;3700;636667;646666;9999;150;;16.0;15;5;10;15;20;;;40;50;;;;;;30;;10;15;20;;;40;50;60;70;80;90;100;60;;10;15;20;;;40;50;60;70;80;90;100;
n48;TD 3600;TDD;30;2;3550;3700;636668;646666;3550;3700;636668;646666;9998;150;;16.0;15;5;10;15;20;;;40;50;;;;;;30;;10;15;20;;;40;50;60;70;80;90;100;60;;10;15;20;;;40;50;60;70;80;90;100;
n50;TD 1500+;TDD;100;20;1432;1517;286400;303400;1432;1517;286400;303400;17000;85;;15.3;15;5;10;15;20;;30;40;50;;;;;;30;;10;15;20;;30;40;50;60;;80;;;60;;10;15;20;;30;40;50;60;;80;;;
n51;TD 1500-;TDD;100;20;1427;1432;285400;286400;1427;1432;285400;286400;1000;5;;15.0;15;5;;;;;;;;;;;;;30;;;;;;;;;;;;;;60;;;;;;;;;;;;;;
n53;TD 2500;TDD;100;20;2483.5;2495;496700;499000;2483.5;2495;496700;499000;2300;11.5;;16.3;15;5;10;;;;;;;;;;;;30;;10;;;;;;;;;;;;60;;10;;;;;;;;;;;;
n65;2100+;FDD;100;20;2110;2200;422000;440000;1920;2010;384000;402000;18000;90;190;16.0;15;5;10;15;20;;;;50;;;;;;30;;10;15;20;;;;50;;;;;;60;;10;15;20;;;;50;;;;;;
n66;AWS-3;FDD;100;20;2110;2200;422000;440000;1710;1780;342000;356000;18000/14000;90/70;400;15.0;15;5;10;15;20;25;30;40;;;;;;;30;;10;15;20;25;30;40;;;;;;;60;;10;15;20;25;30;40;;;;;;;
n67;700 EU;SDL;100;20;738;758;147600;151600;;;;;4000;20;;17.2;15;5;10;15;20;;;;;;;;;;30;;10;15;20;;;;;;;;;;60;;;;;;;;;;;;;;
n70;AWS-4;FDD;100;20;1995;2020;399000;404000;1695;1710;339000;342000;5000/3000;25/15;300;15.0;15;5;10;15;20;25;;;;;;;;;30;;10;15;20;25;;;;;;;;;60;;10;15;20;25;;;;;;;;;
n71;600;FDD;100;20;617;652;123400;130400;663;698;132600;139600;7000;35;-46;15.0;15;5;10;15;20;;;;;;;;;;30;;10;15;20;;;;;;;;;;60;;;;;;;;;;;;;;
n74;L-band;FDD;100;20;1475;1518;295000;303600;1427;1470;285400;294000;8600;43;48;15.3;15;5;10;15;20;;;;;;;;;;30;;10;15;20;;;;;;;;;;60;;10;15;20;;;;;;;;;;
n75;DL 1500+;SDL;100;20;1432;1517;286400;303400;;;;;17000;85;;15.0;15;5;10;15;20;25;30;40;50;;;;;;30;;10;15;20;25;30;40;50;;;;;;60;;10;15;20;25;30;40;50;;;;;;
n76;DL 1500-;SDL;100;20;1427;1432;285400;286400;;;;;1000;5;;15.0;15;5;;;;;;;;;;;;;30;;;;;;;;;;;;;;60;;;;;;;;;;;;;;
n77;TD 3700;TDD;15;1;3300;4200;620000;680000;3300;4200;620000;680000;60000;900;;15.0;15;;10;15;20;25;30;40;50;;;;;;30;;10;15;20;25;30;40;50;60;70;80;90;100;60;;10;15;20;25;30;40;50;60;70;80;90;100;
n77;TD 3700;TDD;30;2;3300;4200;620000;680000;3300;4200;620000;680000;60000;900;;15.0;15;;10;15;20;25;30;40;50;;;;;;30;;10;15;20;25;30;40;50;60;70;80;90;100;60;;10;15;20;25;30;40;50;60;70;80;90;100;
n78;TD 3500;TDD;15;1;3300;3800;620000;653333;3300;3800;620000;653333;33333;500;;15.0;15;;10;15;20;25;30;40;50;;;;;;30;;10;15;20;25;30;40;50;60;70;80;90;100;60;;10;15;20;25;30;40;50;60;70;80;90;100;
n78;TD 3500;TDD;30;2;3300;3800;620000;653332;3300;3800;620000;653332;33332;500;;15.0;15;;10;15;20;25;30;40;50;;;;;;30;;10;15;20;25;30;40;50;60;70;80;90;100;60;;10;15;20;25;30;40;50;60;70;80;90;100;
n79;TD 4700;TDD;15;1;4400;5000;693334;733333;4400;5000;693334;733333;39999;600;;15.0;15;;;;;;;40;50;;;;;;30;;;;;;;40;50;60;;80;;100;60;;;;;;;40;50;60;;80;;100;
n79;TD 4700;TDD;30;2;4400;5000;693334;733332;4400;5000;693334;733332;39998;600;;15.0;15;;;;;;;40;50;;;;;;30;;;;;;;40;50;60;;80;;100;60;;;;;;;40;50;60;;80;;100;
n80;UL n3;SUL;100;20;;;;;1710;1785;342000;357000;15000;75;;15.0;15;5;10;15;20;25;30;40;;;;;;;30;;10;15;20;25;30;40;;;;;;;60;;10;15;20;25;30;40;;;;;;;
n81;UL n8;SUL;100;20;;;;;880;915;176000;183000;7000;35;;15.0;15;5;10;15;20;;;;;;;;;;30;;10;15;20;;;;;;;;;;60;;;;;;;;;;;;;;
